,common lisp,wisp,racket,clojure,emacs lisp
anchors,^ $ \b \B,,"*regexp:*
^ $

*pregexp:*
^ $ \b \B",^ $ \A \b \B \G \z \Z,^ $ \b \B
match test,"(ql:quickload ""cl-ppcre"")

(if (cl-ppcre:all-matches ""1999"" s)
  (format t ""party!""))",,"(regexp-match #rx""bar"" ""foo bar"")","(re-find #""bar"" ""foo bar"")","(string-match ""bar"" ""foo bar"")"
case insensitive match test,,,"(regexp-match #px""(?i:lorem)"" ""Lorem"")","(re-find #""(?i:lorem)"" ""Lorem"")",
substitution,"(cl-ppcre:regex-replace ""[^l]l""
  ""hello""
  ""EL"")
 
(cl-ppcre:regex-replace-all ""[^l]l""
  ""hello hello""
  ""EL"")",,"(regexp-replace #rx""el""
  ""hello""
  ""EL"")
 
(regexp-replace* #rx""el""
  ""hello hello""
  ""EL"")","(.replaceFirst ""hello"" ""[^l]l"" ""XX"")
 
(.replaceAll ""hello hello""
  ""[^l]l"" ""XX"")","*?*
 
(replace-regexp-in-string ""[^l]l""
  ""EL""
  ""hello hello"")"
group capture,,,"(match (regexp-match
    #px""(\\d{4})-(\\d{2})-(\\d{2})""
    ""2010-06-03"")
  [(list s yr mn dy) (list yr mn dy)])","(let [[_ yr mn dy]
    (re-find #""(\d{4})-(\d{2})-(\d{2})""
      ""2010-06-03"")]
  yr)",
scan,,,,"(re-seq #""\w+"" ""dolor sit amet"")",
backreference in match and substitution,,,"(regexp-match #px""(\\w+) \\1"" ""do do"")

(regexp-replace #px""(\\w+) (\\w+)""
  ""do re""
  ""\\2 \\1"")",,
dates and time,,,,,
broken-down datetime type,"*No dedicated type; a list of 9 values is used:*

  second: 0-59
  minute: 0-59
  hour: 0-23
  day of month: 1-31
  month: 1-12
  year: 4 digits
  day of week: 0-6 for Mon-Sun
  is daylight savings time: t or nil
  timezone: negated UTC offset in hours",,,,
current datetime,(get-decoded-time),,"(require racket/date)

(current-date)",(def dt (new java.util.Date)),(current-time)
current unix epoch,"gray|; seconds since Jan 1, 1900:##
(get-universal-time)",,(current-seconds),(/ (System/currentTimeMillis) 1000.0),(float-time)
unix epoch to broken-down datetime,"(decode-universal-time
  (get-unversal-time))",,(seconds->date (current-seconds)),"(def dt (new java.util.Date
    (System/currentTimeMillis)))",(seconds-to-time (float-time))
broken-down datetime to unix epoch,(encode-universal-time 0 22 10 31 5 2015),,"(require racket/date)

(date->seconds (current-date))",(/ (.getTime (new java.util.Date)) 1000.0),"(multiple-value-bind (b s)
  (current-time)
  (+ (* b (expt 2 16)) s))"
format datetime,,,,"(def s ""yyyy-MM-dd HH:mm:ss"")
(def fmt (new java.text.SimpleDateFormat s))

(.format fmt (new java.util.Date))","(format-time-string
  ""%Y-%m-%d %H:%M:%S""
  (current-time))"
parse datetime,,,"(require (prefix-in s19. srfi/19))

(define (date-str->unix-time s fmt)
    (s19.time-second
      (s19.date->time-utc
        (s19.string->date s fmt))))

(date-str->unix-time
  ""2015-05-31 07:06:00""
  ""~Y-~m-~d ~H:~M:~S"")","(def s ""yyyy-MM-dd HH:mm:ss"")
(def fmt (new java.text.SimpleDateFormat s))

(.parse fmt ""2015-05-30 09:14:14"")",
date parts,"(multiple-value-bind
  (ss mi hr dy mo yr)
  (get-decoded-time)
  (list ss mi hr) ; quiesce warning
  (list dy mo yr))",,"(date-year (current-date))
(date-month (current-date))
(date-day (current-date))","(def cal (new java.util.GregorianCalendar))
(.setTime cal dt)

(.get cal java.util.Calendar/DAY_OF_MONTH)
(+ (.get cal java.util.Calendar/MONTH) 1)
(.get cal java.util.Calendar/YEAR)","(multiple-value-bind
  (ss mi hr dy mo yr)
   (decode-time (current-time))
  (list dy mo yr))"
time parts,"(multiple-value-bind
  (ss mi hr)
  (get-decoded-time)
  (list ss mi hr))",,"(date-hour (current-date))
(date-minute (current-date))
(date-second (current-date))","(def cal (new java.util.GregorianCalendar))
(.setTime cal dt)

(.get cal java.util.Calendar/HOUR_OF_DAY)
(.get cal java.util.Calendar/MINUTE)
(.get cal java.util.Calendar/SECOND)","(multiple-value-bind
  (ss mi hr dy mo yr)
   (decode-time (current-time))
  (list ss mi hr))"
build broken-down datetime,(encode-universal-time 0 22 10 31 5 2015),,,"(let
  [yr 2015 mo 5 dy 31 hr 10 mi 22 ss 0]
  (def cal
    (new java.util.GregorianCalendar
      yr (- mo 1) dy hr mi ss)))",(encode-time 0 50 8 31 5 2015)
lists,,,,,
literal,"(1 2 3)
(quote (1 2 3))",,"(1 2 3)
'[1 2 3]
'{1 2 3}
(quote (1 2 3))","(1 2 3)
(quote (1 2 3))","(1 2 3)
(quote (1 2 3))"
constructor,(list 1 2 3),,(list 1 2 3),(list 1 2 3),(list 1 2 3)
predicate,(listp '(1 2 3)),,(list? '(1 2 3)),(list? '(1 2 3)),(listp '(1 2 3))
empty test,"nil *and* '() *are synonyms and evaluate as false in a boolean context. All 
other values are true.*",,(empty? '()),(empty? ()),"nil *and* '() *are synonyms and evaluate as false in a boolean context. All 
other values are true.*"
evaluating the empty list,nil,,*error*,(),nil
cons,(cons 1 '(2 3)),,(cons 1 '(2 3)),(cons 1 '(2 3)),(cons 1 '(2 3))
head,"(car '(1 2 3))
(first '(1 2 3))",,"(car '(1 2 3))
(first '(1 2 3))",first,car
tail,"(cdr '(1 2 3))
(rest '(1 2 3))",,"(cdr '(1 2 3))
(rest '(1 2 3))","(rest '(1 2 3))
(next '(1 2 3))","(cdr '(1 2 3))
(rest '(1 2 3))"
head and tail of empty list,*both evaluate to* nil,,*error*,(),*both evaluate to* nil
length,(length '(1 2 3)),,(length '(1 2 3)),(count '(1 2 3)),(length '(1 2 3))
equality test,(equal '(1 2 3) '(1 2 3)),,(equal? '(1 2 3) '(1 2 3)),(= '(1 2 3) '(1 2 3)),(equal '(1 2 3) '(1 2 3))
nth element,"; indexed from zero:
(nth 2 '(1 2 3 4))",,(list-ref '(1 2 3 4) 2),(nth '(1 2 3 4) 2),(nth 2 '(1 2 3 4))
out-of-bounds behavior,nil,,*error*,*raises* IndexOutOfBoundsException,nil
element index,(position 7 '(5 6 7 8)),,"(require srfi/1)

(list-index (lambda (x) (= x 7)) '(5 6 7 8))",*none*,(position 7 '(5 6 7 8))
concatenate,(append '(1 2 3) '(4 5 6)),,(append '(1 2 3) '(4 5 6)),(concat '(1 2 3) '(4 5 6)),(append '(1 2 3) '(4 5 6))
take,*none*,,(take '(1 2 3 4) 2),(take 2 '(1 2 3 4)),(subseq '(1 2 3 4) 0 2)
drop,(nthcdr 2 '(1 2 3 4)),,(drop '(1 2 3 4) 2),(drop 2 '(1 2 3 4)),(nthcdr 2 '(1 2 3 4))
last element,(car (last '(1 2 3))),,(last '(1 2 3)),(last '(1 2 3)),(car (last '(1 2 3)))
all but last element,(butlast '(1 2 3)),,"(define a '(1 2 3))
(take a (- (length a) 1))",(butlast '(1 2 3)),(butlast '(1 2 3))
reverse,(reverse '(1 2 3)),,(reverse '(1 2 3)),(reverse '(1 2 3)),(reverse '(1 2 3))
sort,(sort '(3 2 4 1) '<),,(sort '(3 2 4 1) <),(sort < '(3 2 4 1)),(sort '(3 2 4 1) '<)
dedupe,(remove-duplicates '(1 1 2 3)),,(remove-duplicates '(1 1 2 3)),,(remove-duplicates '(1 1 2 3))
membership,(member 7 '(1 2 3)),,(member 7 '(1 2 3)),,(member 7 '(1 2 3)
map,"(mapcar
  (lambda (x) (* x x))
  '(1 2 3))",,(map (lambda (x) (* x x)) '(1 2 3)),(map #(* % %) '(1 2 3)),"(mapcar
  (lambda (x) (* x x))
  '(1 2 3))"
filter,"(remove-if-not
  (lambda (x) (> x 2))
  '(1 2 3))

; remove-if returns complement",,"(filter
  (lambda (x) (> x 2))
  '(1 2 3))

; filter-not returns complement","(filter #(> % 2) '(1 2 3))

; remove returns complement","(remove-if-not
  (lambda (x) (> x 2))
  '(1 2 3))

; remove-if returns complement"
reduce,"(reduce '-
  '(1 2 3 4)
  :initial-value 0)",,(foldl (lambda (x y) (- y x)) 0 '(1 2 3 4)),(reduce - 0 '(1 2 3 4)),"(reduce '-
  '(1 2 3 4)
  :initial-value 0)"
right fold,"(reduce '-
  '(1 2 3 4)
  :initial-value 0
  :from-end t)",,(foldr - 0 '(1 2 3 4)),*none*,"(reduce '-
  '(1 2 3 4)
  :initial-value 0
  :from-end t)"
iterate,"(dolist (x '(1 2 3))
  (print x)
  (print (- x)))",,"(for ((x '(1 2 3)))
  (printf ""~a~n"" x)
  (printf ""~a~n"" (- x)))","(doseq [x '(1 2 3)]
  (println x)
  (println (- x)))","(dolist (x '(1 2 3))
  (print x)
  (print (- x)))"
universal predicate,"(every
  (lambda (i) (= 0 (rem i 2)))
  '(1 2 3 4))",,"(for/and ((i '(1 2 3 4)))
  (= 0 (remainder i 2)))",(every? #(= 0 (rem % 2)) '(1 2 3 4)),"(every
  (lambda (i) (= 0 (% i 2)))
  '(1 2 3 4))"
existential predicate,"(some
  (lambda (i) (= 0 (rem i 2)))
  '(1 2 3 4))",,"(for/or ((i '(1 2 3 4)))
  (= 0 (remainder i 2)))",(some #(= 0 (rem % 2)) '(1 2 3 4)),"(some
  (lambda (i) (= 0 (% i 2)))
  '(1 2 3 4))"
list comprehension,,,"(for*/list
  ((file ""ABCDEFGH"") (rank (in-range 1 9)))
  (format ""~a~a"" file rank))","(for
  [file ""ABCDEFGH"" rank (range 1 9)]
  (format ""%c%d"" file rank))",
shuffle,,,(shuffle '(1 2 3 4)),(shuffle '(1 2 3 4)),
set head,"(defparameter *a* '(1 2 3))
(setf (car *a*) 3)",,"(require schema/mpair)

(define a (mlist 1 2 3))
(set-mcar! a 3)",*none*,"(setq a '(1 2 3)
(setcar a 3)"
set tail,"(defparameter *a* '(1 2 3))
(setf (cdr *a*) '(4 5 6))",,"(require schema/mpair)

(define a (mlist 1 2 3))
(set-mcdr! a (mlist 4 5 6))",*none*,"(setq a '(1 2 3)
(setcar a 3)
(setcdr a '(4 5 6))"
manipulate back,"(defparameter *a* '(1 2 3))
(push 4 *a*)
(pop *a*)",,*none*,,"(setq a '(1 2 3))
(push 4 a)
(pop a)"
flatten,,,(flatten '(1 2 (3 (4)))),(flatten '(1 2 (3 (4)))),
associative array lookup,(assoc 3 '((1 2) (3 4))),,(assoc 3 '((1 2) (3 4))),"*none, see note*",(assoc 3 '((1 2) (3 4)))
flat associative array lookup,(getf '(1 2 3 4) 3),,*none*,*none*,(getf '(1 2 3 4) 3)
pair literal,(1 . 2),,(1 . 2),*none*,(1 . 2)
cons cell test,"(cons '(1 . 2))
(not (atom '(1 . 2)))",,"(cons? '(1 . 2))
(pair? '(1 . 2))",*none*,"(cons '(1 . 2))
(not (atom '(1 . 2)))"
translate elements recursively,"(sublis '((1 . 2) (3 . 4))
  '(1 (3 3 (1))))",,,,"(sublis '((1 . 2) (3 . 4))
  '(1 (3 3 (1))))"
fixed-length arrays,,,,,
literal,#(1 2 3),,#(1 2 3),[1 2 3],[1 2 3]
constructor,(vector 1 2 3),,(vector 1 2 3),(vector 1 2 3),(vector 1 2 3)
size,(length #(1 2 3)),,(vector-length #(1 2 3)),(count [1 2 3]),(length [1 2 3])
lookup,"(elt #(1 2 3) 0) *or*
(aref #(1 2 3) 0)",,(vector-ref #(1 2 3) 0),(nth [1 2 3] 0),(elt [1 2 3] 0)
update,"(setq v [1 2 3])
(setf (aref v 2) 4)",,"(define v (vector 1 2 3))
(vector-set! v 2 4)",(replace {2 4} [1 2 3]),"(setq v #(1 2 3))
(setf (aref v 2) 4)"
out-of-bounds behavior,*raises* sb-kernel:index-too-large-error,,*error*,,
array to list,(coerce #(1 2 3) 'list),,(vector->list #(1 2 3)),(seq [1 2 3]),(coerce [1 2 3] 'list)
list to array,(coerce '(1 2 3) 'vector),,(list->vector '(1 2 3)),(vec '(1 2 3)),(coerce '(1 2 3) 'vector)
reverse,(reverse #(1 2 3)),,,,
sort,(sort #(2 4 1 3) #'<),,,,
map,(map 'vector (lambda (x) (* x x)) #(1 2 3)),,,,
filter,"(remove-if-not (lambda (x) (> x 2)) #(1 2 3))

; also remove-if",,,,
reduce,,,,,
dictionaries,,,,,
literal,*none*,,"; immutable:
#hash((""t"" . 1) (""f"" . 0))","; clojure.lang.PersistentArrayMap:
{""t"" 1 ""f"" 0}",*none*
constructor,"(defparameter *h* (make-hash-table :test 'equal))

; default equality test is 'eql",,"(define ih
  (make-immutable-hash
    '((""t"" . 1) (""f"" . 0))))

; mutable:
(define h (make-hash '((""t"" . 1) (""f"" . 0))))","; immutable:
(def ih (hash-map ""t"" 1 ""f"" 0))",(setq h (make-hash-table :test 'equal))
predicate,(hash-table-p *h*),,"(hash? h)

; also true of assoc. lists and vectors:
(dict? h)",(map? ih),(hash-table-p h)
size,(hash-table-count *h*),,"(hash-count h)

; also works with assoc lists and vectors:
(dict-count ih)",(count ih),(hash-table-count h)
lookup,"(gethash ""t"" *h*)",,"(hash-ref h ""t"")

; return -1 if not found:
(hash-ref h ""m"" -1)

; also works with assoc. lists and vectors:
(dict-ref ih ""t"")
(dict-ref ih ""m"" -1)","(get ih ""t"")
(find ih ""t"")

; return -1 if not found:
(get ih ""m"" -1)","(gethash ""t"" h)"
update,"(setf (gethash ""t"" *h*) 1)",,"(hash-set! h ""t"" 2)

(define ih2 (hash-set ih ""t"" 2))

; also dict-set! and dict-set","(def ih2 (assoc ih ""t"" 2))","(puthash ""t"" 1 h)"
missing key behavior,*returns* nil,,*error*,*returns* nil,*returns* nil
is key present,"(nth-value 1 (gethash ""t"" *h*))",,"(hash-has-key? h ""t"")

; also dict-has-key?","(contains? ih ""t"")",*none*
delete,"(remhash ""t"" *h*)",,"(hash-remove! h ""t"")
 
(define ih2
  (hash-remove ih ""t""))

; also dict-remove! and dict-remove","(def ih2 (dissoc ih ""t""))","(remhash ""hello"" h)"
merge,,,,"; values in ih2 take precedence:
(define ih3 (merge ih ih2))",
invert,,,,"(require 'clojure.set)

(define ih4 (clojure.set/map-invert ih))",
iterate,"(maphash
  (lambda (k v)
    (print k)
    (print v))
  *h*)",,"(hash-for-each h
  (lambda (k v)
    (printf ""~a~n"" k)
    (printf ""~a~n"" v)))

; also dict-for-each","(doseq [p ih]
  (println (first p))
  (println (second p)))","(maphash
  (lambda (k v)
    (print k)
    (print v))
  h)"
keys and values as lists,*none*,,"(hash-keys h)
(hash-values h)

; also dict-keys and dict-values","(def hkeys (map (fn [p] (first p)) ih))
(def hvals (map (fn [p] (second p)) ih))",*none*
user-defined types,,,,,
